QUESTION_ID,TOPIC,SUBTOPIC,MOCK_APPEARANCE,BLUEBOOK_APPEARANEC,QUESTION_PROMPT
85b33aa8,PSDA,Rates & Proportions,,,"A fish swam a distance of yards. How far did the fish swim, in miles?"
8637294f,PSDA,Rates & Proportions,,,"If and , what is the value of ?"
8643d906,ALGEBRA,Linear Functions,,,"The population of snow leopards in a certain area can be modeled by the function P defined above, where is the population t years after 1990. Of the following, which is the best interpretation of the equation ?"
86636d8f,PSDA,Rates & Proportions,,,A customer spentÃ‚ to purchase oranges at per pound. How many pounds of oranges did the customer purchase?
868fc236,ALGEBRA,Linear Functions,1000D Medium,,"The table above gives the typical amounts of energy per gram, expressed in both food calories and kilojoules, of the three macronutrients in food. If x food calories is equivalent to kÃ‚Â kilojoules, of the following, which best represents the relationship between x and k ?"
869a32f1,PSDA,Data 1 Variable,,,"The high temperature, in degrees Fahrenheit (Ã‚Â°F), in a certain city was recorded for each of 5Ã‚ days. The data are shown below. Day 1 2 3 4 5 High temperature (Ã‚Â°F) 81 80 81 81 82 Over this 5-day period, which of the following is NOT equal to 81Ã‚Â°F?"
86f7483f,ALGEBRA,Linear Inequalities,,,"During spring migration, a dragonfly traveled a minimum of miles and a maximum of miles between stopover locations. Which inequality represents this situation, where is a possible distance, in miles, this dragonfly traveled between stopover locations during spring migration?"
8705ecba,PSDA,Percentages,,,"The cost of a certain shirt is $20 before a 5% sales tax is added. What is the total cost, including sales tax, to purchase the shirt?"
87071893,ALGEBRA,Linear Equations 1 Variable,,,What value of is the solution to the given equation?
87322577,ALGEBRA,Linear Equations 2 Variables,,,"The equation above relates the number of minutes,Ã‚ x, Maria spends running each day and the number of minutes, y, she spends biking each day. In the equation, what does the number 75 represent?"
8736334b,PSDA,Data 1 Variable,,,"Data set A and data set B each contain 5 numbers. If the mean of data set A is equal to the mean of data set B, what is the value of x ?"
873d2838,PSDA,Rates & Proportions,,,"The population density of Cedar County is people per square mile. The county has a population of people. What is the area, in square miles, of Cedar County?"
876a731c,ADV_MATH,"Nonlinear Eq. 1 Var., Sys. 2 Var.",903D Medium,,"IfÃ‚ (x, y) is a solution of the system of equations above and x > 0, what is the value ofÃ‚ xy ?"
8784bc84,PSDA,Percentages,,BB6 LOWER,What isÃ‚ of ?
87a3de81,ADV_MATH,"Nonlinear Eq. 1 Var., Sys. 2 Var.",901D Medium,,"If a is a solution of the equation above and , what is the value of a ?"
881ef5f5,PSDA,Data 1 Variable,,,"If a is the mean and b is the median of nine consecutive integers, what is the value of ?"
8838a672,ADV_MATH,Equivalent Expressions,,,Which of the following expressions is equivalent to the expression above?
88867d37,ADV_MATH,"Nonlinear Eq. 1 Var., Sys. 2 Var.",,BB6 MEDIUM,What is a positive solution to the given equation?
88e13c8c,ALGEBRA,Linear Functions,,BB8 UPPER,"The total cost , in dollars, to lease a car for months from a particular car dealership is given by , where is the monthly payment, in dollars. What is the total cost to lease a car when the monthly payment is ?"
8917ce38,PSDA,Rates & Proportions,901D Upper,,"Which of the following speeds is equivalent to 90 kilometers per hour? (1 kilometer = 1,000 meters)"
89541f9b,ALGEBRA,Linear Inequalities,,,Which of the following ordered pairs satisfies the inequality ?
895628b5,ADV_MATH,"Nonlinear Eq. 1 Var., Sys. 2 Var.",,,Which ordered pair is the solution to the given system of equations?
89661424,GEOM_TRIG,Circles,,,"A circle in the xy-plane has its center at and has a radius of . An equation of this circle is , where , , and are constants. What is the value of ?"
899c6042,GEOM_TRIG,Area & Volume,,,A right circular cone has a height of and a base with a diameter of . The volume of this cone is . What is the value of ?
89c39d77,PSDA,Rates & Proportions,,,"A competition consisted of four different events. One participant completed the first event with an average speed of miles per hour. What was this average speed, in yards per hour?"
89f8d08a,PSDA,Sample Size & ME,901D Medium,,"A store manager reviewed the receipts from 80Ã‚ customers who were selected at random from all the customers who made purchases last Thursday. Of those selected, 20Ã‚ receipts showed that the customer had purchased fruit. If 1,500Ã‚ customers made purchases last Thursday, which of the following is the most appropriate conclusion?"
89fc23af,ADV_MATH,Equivalent Expressions,,,Which of the following expressions is equivalent to Ã‚ ?
8a1544f1,ALGEBRA,Linear Equations 2 Variables,,,What is the equation of the line shown in the xy-plane above?
8a6de407,ALGEBRA,Linear Functions,,,"The function f is defined by , where m and b are constants. If and , what is the value of mÃ‚Â ?"
8a714fa1,PSDA,Percentages,,,"Which of the following represents the result of increasing the quantityÃ‚ x by 9%, where ?"
8a87c2c8,ALGEBRA,Systems of Linear Equations,903D Upper,,The solution to the given system of equations is . What is the value of ?
8abed0fb,ALGEBRA,Systems of Linear Equations,,,What is the solution to the given system of equations?
8ad64841,ALGEBRA,Linear Functions,,,"A linear function gives a companyÃ¢â‚¬â„¢s profit, in dollars, for selling items. The companyÃ¢â‚¬â„¢s profit is when it sells items, and its profit is when it sells items. Which equation defines ?"
8adf1335,ALGEBRA,Linear Equations 2 Variables,,,A cityÃ¢â‚¬â„¢s total expense budget for one year was xÃ‚ millionÃ‚ dollars. The city budgeted yÃ‚ millionÃ‚ dollars for departmental expenses and 201Ã‚ millionÃ‚ dollars for all other expenses. Which of the following represents the relationship between x and y in this context?
8b2a2a63,ALGEBRA,Linear Equations 2 Variables,,,The y-intercept of the graph of in the xy-plane is . What is the value of ?
8baf2118,PSDA,Data 2 Variable,,,"The scatterplot shows the relationship between two variables, and . A line of best fit is also shown. Which of the following equations best represents the line of best fit shown?"
8bf3f67a,PSDA,Rates & Proportions,,BB5 MEDIUM,A special camera is used for underwater ocean research. The camera is at a depth of fathoms. What is the camera's depth in feet?
8c1aa743,GEOM_TRIG,Area & Volume,,,"Rectangles andÃ‚ are similar. The length of each side ofÃ‚ is times the length of the corresponding side ofÃ‚ . The area ofÃ‚ is square units. What is the area, in square units, of ?"
8c515062,ALGEBRA,Linear Equations 1 Variable,,,"A candle is made of ounces of wax. When the candle is burning, the amount of wax in the candle decreases by ounce every hours. If ounces of wax remain in this candle, for how many hours has it been burning?"
8c5dbd3e,PSDA,Percentages,,,The number is greater than the number . The number is less than . What is the value of ?
8c5e6702,ALGEBRA,Linear Functions,,BB10 UPPER,"A window repair specialist charges for the first two hours of repair plus an hourly fee for each additional hour. The total cost for hours of repair is . Which function gives the total cost, in dollars, for hours of repair, where ?"
8c98c834,ALGEBRA,Linear Equations 2 Variables,,,"The equation models the relationship between the number of different pieces of music aÃ‚ certain pianist practices, y, during an x-minute practice session. How many pieces did the pianist practice if the session lasted 30Ã‚ minutes?"
8cbf1415,PSDA,Percentages,,,"In a group, % of the items are red. Of all the red items in the group, % also have stripes. What percentage of the items in the group are red with stripes?"
8d63b6f1,PSDA,Data 2 Variable,,,"The scatterplot shows the relationship between the weight, in pounds, of each of female gray wolves on April and the number of offspring each gray wolf produced. How many offspring did the -pound gray wolf produce?"
8e2e424e,PSDA,Percentages,,,"The number k is 36% greater than 50. If k is the product of 50 and r, what is the value of rÃ‚ ?"
8e528129,PSDA,Rates & Proportions,,,"Pure beeswax has a density of 0.555 ounce per cubic inch. An online company sells pure beeswax at a price of $8.00 per ounce. What is the selling price, in dollars per cubic inch, for pure beeswax purchased from this company?"
8e7689e0,GEOM_TRIG,Circles,901D Upper,,"The number of radians in a 720-degree angle can be written as , where a is a constant. What is the value of a ?"
8f0c82e2,ALGEBRA,Linear Inequalities,,,The minimum value of is less than times another number . Which inequality shows the possible values of ?
8f65cddc,ADV_MATH,"Nonlinear Eq. 1 Var., Sys. 2 Var.",,,"The given equation relates the positive numbers , , and . Which equation correctly expresses in terms of and ?"
90095507,ALGEBRA,Linear Equations 1 Variable,,,"Townsend Realty Group Investments Property address Purchase price (dollars) Monthly rental price (dollars) Clearwater Lane 128,000 950 Driftwood Drive 176,000 1,310 Edgemont Street 70,000 515 Glenview Street 140,000 1,040 Hamilton Circle 450,000 3,365 The Townsend Realty Group invested in the five different properties listed in the table above. The table shows the amount, in dollars, the company paid for each property and the corresponding monthly rental price, in dollars, the company charges for the property at each of the five locations. Townsend Realty purchased the Glenview Street property and received a 40% discount off the original price along with an additional 20% off the discounted price for purchasing the property in cash. Which of the following best approximates the original price, in dollars, of the GlenviewÃ‚ Street property?"
901c3215,GEOM_TRIG,"Lines, Angles, Triangles",,BB8 UPPER,"In triangles and , angles and each have measure and angles and each have measure . Which additional piece of information is sufficient to determine whether triangle is congruent to triangle ?"
901e3285,GEOM_TRIG,"Lines, Angles, Triangles",1000D Medium,,"In triangle ABC, the measure of angle A is . If triangle ABC is isosceles, which of the following is NOT a possible measure of angle B ?"
902dc959,GEOM_TRIG,Right Angle Trigonometry,902D Medium,,"In the figure above, what is the value of ?"
90ba8f98,PSDA,Data 2 Variable,,BB7 UPPER,"In the given scatterplot, a line of best fit for the data is shown. Which of the following is closest to the slope of the line of best fit shown?"
90bcaa61,ADV_MATH,Nonlinear Functions,,BB8 MEDIUM,"The functionÃ‚ gives the number of bacteria in a population minutes after an initial observation. How much time, in minutes, does it take for the number of bacteria in the population to double?"
90bd9ef8,ALGEBRA,Linear Inequalities,903D Lower,,"The average annual energy cost for a certain home is $4,334. The homeowner plans to spend $25,000 to install a geothermal heating system. The homeowner estimates that the average annual energy cost will then be $2,712. Which of the following inequalities can be solved to find t, the number of years after installation at which the total amount of energy cost savings will exceed the installationÃ‚ cost?"
90eed2e5,PSDA,Sample Size & ME,,,"A city has 50Ã‚ city council members. A reporter polled a random sample of 20Ã‚ city council members and found that 6 of those polled supported a specific bill. Based on the sample, which of the following is the best estimate of the number of city council members in the city who support the bill?"
9110c120,PSDA,Data 1 Variable,903D Medium,,Which of the following statements about the means and medians of data set A and data set B is true?
911383f2,ADV_MATH,"Nonlinear Eq. 1 Var., Sys. 2 Var.",,,What is the product of the solutions to the given equation?
911c415b,ADV_MATH,Equivalent Expressions,901D Upper,,"The expression above can be written in the form , where a and b are constants. What is the value of ?"
912cd125,PSDA,Probability,1000D Medium,,"For a science project, Anka recorded whether it rained each weekday and weekend day for 12Ã‚ weeks. Her results are summarized in the table below. Weekday and Weekend Day Rain for 12 Weeks Rain No rain Total Number of weekdays 12 48 60 Number of weekend days 8 16 24 Total 20 64 84 If one of the days on which there was no rain is selected at random, what is the probability the day was a weekend day?"
915463e0,ALGEBRA,Linear Inequalities,,,"Normal body temperature for an adult is between and , inclusive. If Kevin, an adult male, has a body temperature that is considered to be normal, which of the following could be his body temperature?"
916ffe9b,PSDA,Sample Size & ME,,BB8 UPPER,"Poll Results Angel Cruz Terry Smith The table shows the results of a poll. A total of voters selected at random were asked which candidate they would vote for in the upcoming election. According to the poll, if people vote in the election, by how many votes would Angel Cruz be expected to win?"
91e7ea5e,ADV_MATH,Nonlinear Functions,,,"The quadratic function h is defined as shown. In the xy-plane, the graph of intersects the x-axis at the points and , where t is a constant. What is the value of t ?"
926c246b,ADV_MATH,Nonlinear Functions,,,"The equation above estimates the global data traffic D, in terabytes, for the year that is t years after 2010. What is the best interpretation of the number 5,640 in this context?"
928498f3,ADV_MATH,"Nonlinear Eq. 1 Var., Sys. 2 Var.",,,What are the solutions to the given equation?
9296553d,PSDA,Data 2 Variable,1000D Lower,,Which of the following could be an equation for a line of best fit for the data in the scatterplot?
92aa3a94,ALGEBRA,Linear Equations 2 Variables,,,Line is defined by . Line is perpendicular to line in the xy-plane. What is the slope of line ?
92eb236a,GEOM_TRIG,Right Angle Trigonometry,,,"In a right triangle, the tangent of one of the two acute angles is . What is the tangent of the other acute angle?"
92f812bb,ADV_MATH,Nonlinear Functions,,,"In the xy-plane, a parabola has vertexÃ‚ and intersects the x-axis at two points. If the equation of the parabola is written in the form , where , , and are constants, which of the following could be the value of ?"
930c2990,ALGEBRA,Linear Functions,,,"Hydrogen is placed inside a container and kept at a constant pressure. The graph shows the estimated volume , in liters, of the hydrogen when its temperature is kelvins. What is the estimated volume, in liters, of the hydrogen when its temperature is kelvins?"
933fee1a,GEOM_TRIG,"Lines, Angles, Triangles",,,Triangles ABC and DEF are shown above. Which of the following is equal to the ratio ?
93724cc6,PSDA,Percentages,,,is of what number?
93779b53,PSDA,Data 1 Variable,,,A group of students voted on five after-school activities. The bar graph shows the number of students who voted for each of the five activities. How many students chose activity ?
93954cfa,ALGEBRA,Linear Equations 1 Variable,,,"One pound of grapes costsÃ‚ $2. At this rate, how many dollars will cÃ‚ pounds of grapes cost?"
939c46d1,PSDA,Rates & Proportions,,,"The glass pictured above can hold a maximum volume of 473 cubic centimeters, which is approximately 16 fluid ounces. Jenny has a pitcher that contains 1Ã‚ gallon of water. How many times could Jenny completely fill the glass with 1Ã‚ gallon of water?"
939fc21b,ALGEBRA,Systems of Linear Equations,,,What is the solutionÃ‚ to the given system of equations?
93de3f84,GEOM_TRIG,Area & Volume,1000D Upper,,"The volume of right circular cylinderÃ‚ A is 22Ã‚ cubic centimeters. What is the volume, in cubic centimeters, of a right circular cylinder with twice the radius and half the height of cylinderÃ‚ A?"
93f48423,GEOM_TRIG,Area & Volume,,,"What is the area, in square inches, of a rectangle with a length of inches and a width of inches?"
94237701,PSDA,Data 1 Variable,902D Upper,,"For a certain computer game, individuals receive an integer score that ranges from 2 through 10. The table below shows the frequency distribution of the scores of the 9 players in group A and the 11 players in group B. Score Score Frequencies Group A Group B 2 1 0 3 1 0 4 2 0 5 1 4 6 3 2 7 0 0 8 0 2 9 1 1 10 0 2 Total 9 11 Ã‚ Ã‚ The median of the scores for group B is how much greater than the median of the scores for group A?"
94364a79,GEOM_TRIG,"Lines, Angles, Triangles",,,"Two nearby trees are perpendicular to the ground, which is flat. One of these trees is feet tall and has a shadow that is feet long. At the same time, the shadow of the other tree is feet long. How tall, in feet, is the other tree?"
94660ba8,PSDA,Rates & Proportions,,,"A participant in a bicycle race completes the race with an average speed of yards per hour. What is this average speed, in miles per hour?"
946ab892,ALGEBRA,Linear Functions,,,"For the linear function , the graph ofÃ‚Â  in the xy-plane has a slope of and passes through the point . Which equation defines ?"
947a3cde,GEOM_TRIG,"Lines, Angles, Triangles",,,"In the figure above, and intersect at point P, , and . What is the measure, in degrees, of ? (Disregard the degree symbol when gridding your answer.)"
948087f2,ALGEBRA,Linear Inequalities,,,"Which of the following ordered pairsÃ‚ (x, y) satisfies the system of inequalities above?"
949cd96b,PSDA,Percentages,,,"The length of the base of a certain parallelogram is of the height of the parallelogram. Which expression represents the length of the base of the parallelogram, where is the height of the parallelogram?"
94b48cbf,ALGEBRA,Linear Equations 2 Variables,,,"The graph of in the -plane has an -intercept at and a -intercept at , where and are constants. What is the value of ?"
94c65646,PSDA,Percentages,1000D Medium,,is of what number?
94ff3e2d,ADV_MATH,Nonlinear Functions,,,The function is defined byÃ‚ . What is the value ofÃ‚ ?
954943a4,PSDA,Percentages,,,"Jennifer bought a box of Crunchy Grain cereal. The nutrition facts on the box state that a serving size of the cereal is cup and provides 210 calories, 50 of which are calories from fat. In addition, each serving of the cereal provides 180 milligrams of potassium, which is 5% of the daily allowance for adults. If p percent of an adultÃ¢â‚¬â„¢s daily allowance of potassium is provided by x servings of Crunchy Grain cereal per day, which of the following expresses p in terms of x ?"
9551cd91,ALGEBRA,Linear Functions,,BB6 UPPER,"Number of cars Maximum number of passengers and crew The table shows the linear relationship between the number of cars, , on a commuter train and the maximum number of passengers and crew, , that the train can carry. Which equation represents the linear relationship between and ?"
95ba2d09,GEOM_TRIG,Circles,903D Lower,,"In the xy-plane above, points P, Q, R, and T lie on the circle with center O. The degree measures of angles and are each 30Ã‚Â°. What is the radian measure of angle ?"
95cad55f,ALGEBRA,Linear Inequalities,,,"A laundry service is buying detergent and fabric softener from its supplier. The supplier will deliver no more than 300Ã‚ pounds in a shipment. Each container of detergent weighs 7.35 Ã‚ pounds, and each container of fabric softener weighs 6.2Ã‚ pounds. The service wants to buy at least twice as many containers of detergent as containers of fabric softener. Let d represent the number of containers of detergent, and let s represent the number of containers of fabric softener, where d and s are nonnegative integers. Which of the following systems of inequalities best represents this situation?"
95d1c344,ADV_MATH,Nonlinear Functions,,BB6 UPPER,"The graph models the number of active projects a company was working on months after the end of November , where . According to the model, what is the predicted number of active projects the company was working on at the end of November ?"
95ed0b69,ADV_MATH,"Nonlinear Eq. 1 Var., Sys. 2 Var.",,BB8 MEDIUM,"The given equation relates the distinct positive numbers , , and . Which equation correctly expresses in terms of and ?"
95eeeb5b,ADV_MATH,Nonlinear Functions,,BB6 UPPER,"The function is defined byÃ‚ , where , , and are constants. The graph of in the xy-plane passes through the points and . If is an integer greater than , which of the following could be the value of ?"
963da34c,ALGEBRA,Linear Inequalities,,,"A shipping service restricts the dimensions of the boxes it will ship for a certain type of service. TheÃ‚ restriction states that for boxes shaped like rectangular prisms, the sum of the perimeter of the base of the box and the height of the box cannot exceed 130Ã‚ inches. The perimeter of the base is determined using the width and length of the box. IfÃ‚ a box has a height of 60Ã‚ inches and its length is 2.5Ã‚ times the width, which inequality shows the allowable width x, in inches, of the box?"
9654add7,ADV_MATH,Nonlinear Functions,,,"The revenue , in dollars, that a company receives from sales of a product is given by the function f above, where x is the unit price, in dollars, of the product. The graph of in the xy-plane intersects the x-axis at 0 and a. What does a represent?"
967ef685,ADV_MATH,Equivalent Expressions,,BB5 MEDIUM,"Which expression is equivalent toÃ‚ , whereÃ‚ ?"
968e9e51,ALGEBRA,Linear Inequalities,,,Which of the following ordered pairs is a solution to the system of inequalities above?
96a45430,PSDA,Percentages,,,"A number n is increased 6%. If the result is 318, what is the value of n ?"
96c3e32d,PSDA,Rates & Proportions,,,"One side of a flat board has an area of square inches. If a pressure of pounds per square inch of area is exerted on this side of the board, what is the total force, in pounds, exerted on this side of the board?"
97158b3a,ADV_MATH,Nonlinear Functions,,,"The area A, in square centimeters, of a rectangular painting can be represented by the expression , where is the width, in centimeters, of the painting.Ã‚ Which expression represents the length, in centimeters, of the painting?"
974d33dc,ADV_MATH,Equivalent Expressions,902D Medium,,Which of the following expressions is equivalent to the sum of and ?
97631565,PSDA,Sample Size & ME,,BB6 MEDIUM,"Scott selected employees at random from all employees at a company. He found that of the employees in this sample are enrolled in exactly three professional development courses this year. Based on ScottÃ¢â‚¬â„¢s findings, which of the following is the best estimate of the number of employees at the company who are enrolled in exactly three professional development courses this year?"
979b0b8d,ALGEBRA,Linear Functions,,,"For the linear function , the graph ofÃ‚Â  in theÃ‚Â xy-plane has a slope of and passes through the pointÃ‚Â . Which equation defines ?"
97e50fa2,ADV_MATH,"Nonlinear Eq. 1 Var., Sys. 2 Var.",,,"The graph of the function f, defined by , is shown in the xy-plane above. If the function g (not shown) is defined by , what is one possible value of a such that ?"
981275d2,GEOM_TRIG,Circles,902D Upper,,"In the xy-plane, the graph of the equation above is a circle. Point P is on the circle and has coordinates . If is a diameter of the circle, what are the coordinates of point Q ?"
981aca65,ADV_MATH,Nonlinear Functions,,,"In the given function , is a constant. The graph of function in the xy-plane, where , is translated units down and units to the right to produce the graph of . Which equation defines function ?"
983412ea,GEOM_TRIG,Area & Volume,,,"A right square prism has a height of units. The volume of the prism is cubic units. What is the length, in units, of an edge of the base?"
98958ae8,PSDA,Data 1 Variable,1000D Medium,,"Data set A consists of the heights of objects and has a mean of meters. Data set B consists of the heights of objects and has a mean of meters. Data set C consists of the heights of the objects from data sets A and B. What is the mean, in meters, of data set C?"
98d3393a,ALGEBRA,Linear Equations 2 Variables,903D Medium,,Line in the xy-plane is perpendicular to the line with equation . What is the slope of line ?
98f735f2,ADV_MATH,"Nonlinear Eq. 1 Var., Sys. 2 Var.",,,"The total revenue from sales of a product can be calculated using the formula , where T is the total revenue, P is the price of the product, and Q is the quantity of the product sold. Which of the following equations gives the quantity of product sold in terms of P and T ?"
992f4e93,GEOM_TRIG,"Lines, Angles, Triangles",,,"In the figure above, lines and k are parallel. What is the value of a ?"
99550621,PSDA,Rates & Proportions,,,"Makayla is planning an event in a 5,400-square-foot room. If there should be at least 8 square feet per person, what is the maximum number of people that could attend this event?"
9966235e,GEOM_TRIG,Area & Volume,,BB8 UPPER,"A cube has an edge length of inches. A solid sphere with a radius of inches is inside the cube, such that the sphere touches the center of each face of the cube. To the nearest cubic inch, what is the volume of the space in the cube not taken up by the sphere?"
997bec28,ALGEBRA,Linear Equations 1 Variable,,,"The perimeter of an isosceles triangle is inches. Each of the two congruent sides of the triangle has a length of inches. What is the length, in inches, of the third side?"
9a144a01,PSDA,Data 2 Variable,,,Which of the following is true about the values of and for ?
9a216c0f,ALGEBRA,Systems of Linear Equations,,BB6 LOWER,"The combined original price for a mirror and a vase is . After a discount to the mirror and a discount to the vase are applied, the combined sale price for the two items is . Which system of equations gives the original price , in dollars, of the mirror and the original price , in dollars, of the vase?"
9aaf7786,ALGEBRA,Linear Equations 2 Variables,,BB5 UPPER,"In the xy-plane, line has a slope of and an x-intercept of . What is the y-coordinate of the y-intercept of line ?"
9acd101f,GEOM_TRIG,Circles,,,The equation represents circle
9afe2370,ADV_MATH,Nonlinear Functions,,,"The population P of a certain city y years after the last census is modeled by the equation below, where r is a constant and is the population when . If during this time the population of the city decreases by a fixed percent each year, which of the following must be true?"
9b5b23fc,PSDA,Data 2 Variable,,BB9 UPPER,"For , the function is defined as follows: Ã‚ equals of Which of the following could describe this function?"
9ba3e283,PSDA,Sample Size & ME,1000D Medium,,"In State X, Mr. CampÃ¢â‚¬â„¢s eighth-grade class consisting of 26 students was surveyed and 34.6 percent of the students reported that they had at least two siblings. The average eighthÃ¢â‚¬â€˜grade class size in the state is 26. If the students in Mr. CampÃ¢â‚¬â„¢s class are representative of students in the stateÃ¢â‚¬â„¢s eighth-grade classes and there are 1,800 eighth-grade classes in the state, which of the following best estimates the number of eighthÃ¢â‚¬â€˜grade students in the state who have fewer thanÃ‚ two siblings?"
9bb4107c,PSDA,Data 2 Variable,,,"The graph shows the momentum , in newton-seconds, of an object seconds after the object started moving, for . What is the average rate of change, in newton-seconds per second, in the momentum of the object from to ?"
9bbce683,ALGEBRA,Linear Equations 2 Variables,903D Upper,,"For line , the table shows three values of and their corresponding values of . Line is the result of translating line down units in the xy-plane. What is the x-intercept of line ?"
9bedc4a0,PSDA,Sample Size & ME,,BB5 UPPER,"A company that produces socks wants to estimate the percent of the socks produced in a typical week that are defective. A random sample of socks produced in a certain week were inspected. Based on the sample, it is estimated that of all socks produced by the company in this week are defective, with an associated margin of error of . Based on the estimate and associated margin of error, which of the following is the most appropriate conclusion about all socks produced by the company during this week?"
9bf4c545,PSDA,Evaluation,,,The members of a city council wanted to assess the opinions of all city residents about converting an open field into a dogÃ‚ park. The council surveyed a sample of 500Ã‚ city residents who own dogs. The survey showed that the majority of those sampled were in favor of the dog park. Which of the following is true about the city councilÃ¢â‚¬â„¢s survey?
9c44f828,PSDA,Percentages,1000D Lower,,"There are a total of seats in a school auditorium. During an assembly, students occupiedÃ‚ of the seats in the auditorium. How many seats did the students occupy during this assembly?"
9c7741c6,ALGEBRA,Linear Equations 2 Variables,,,"On a 210-mile trip, Cameron drove at an average speed of 60 miles per hour for the first x hours. He then completed the trip, driving at an average speed of 50 miles per hour for the remaining y hours. If , what is the value of y ?"
9cb9beec,ADV_MATH,"Nonlinear Eq. 1 Var., Sys. 2 Var.",,,"In the given system of equations, is a positive constant. The system has exactly one distinct real solution. What is the value of ?"
9d0396d4,ALGEBRA,Linear Equations 2 Variables,,,The point with coordinates lies on the line shown. What is the value of ?
9d159400,GEOM_TRIG,Circles,,BB10 UPPER,Which of the following equations represents a circle in the xy-plane that intersects the y-axis at exactly one point?
9d88a3e3,PSDA,Data 2 Variable,,,"Theresa ran on a treadmill for thirty minutes, and her time and speed are shown on the graph above. According to the graph, which of the following statements is NOT true concerning TheresaÃ¢â‚¬â„¢s run?"
9d935bd8,PSDA,Data 1 Variable,,,A survey was given to residents of all 50Ã‚ states asking if they had earned a bachelorÃ¢â‚¬â„¢s degree or higher. TheÃ‚ results from 7 of the states are given in the table above. The median percent of residents who earned a bachelorÃ¢â‚¬â„¢s degree or higher for all 50Ã‚ states was 26.95%. What is the difference between the median percent of residents who earned a bachelorÃ¢â‚¬â„¢s degree or higher for these 7Ã‚ states and the median for all 50Ã‚ states?
9d95e7ad,PSDA,Data 2 Variable,,,"The scatterplot above shows the numbers of grams of both total protein and total fat for eight sandwiches on a restaurant menu. The line of best fit for the data is also shown. According to the line of best fit, which of the following is closest to the predicted increase in total fat, in grams, for every increase of 1 gram in total protein?"
9da41c80,ADV_MATH,Nonlinear Functions,902D Lower,,"A ball is dropped from an initial height of feet and bounces off the ground repeatedly. The function estimates that the maximum height reached after each time the ball hits the ground is of the maximum height reached after the previous time the ball hit the ground. Which equation defines , where is the estimated maximum height of the ball after it has hit the ground times and is a whole number greater than and less than ?"
9db5b5c1,ALGEBRA,Systems of Linear Equations,,,The solution to the given system of equations is . What is the value of ?
9e2bf782,PSDA,Data 1 Variable,,,A fish hatchery has three tanks for holding fish before they are introduced into the wild. Ten fish weighing less than 5 ounces are placed in tank
9e44284b,GEOM_TRIG,Circles,,,"In theÃ‚ xy-plane, the graph of is a circle. What is the radius of the circle?"
9e5863bd,ALGEBRA,Linear Inequalities,,,"For a snowstorm in a certain town, the minimum rate of snowfall recorded was inches per hour, and the maximum rate of snowfall recorded was inches per hour. Which inequality is true for all values of , where represents a rate of snowfall, in inches per hour, recorded for this snowstorm?"
9eb896c5,PSDA,Data 2 Variable,901D Medium,,Which of the following could be the equation for a line of best fit for the data shown in the scatterplot above?
9ec76b54,GEOM_TRIG,Right Angle Trigonometry,901D Upper,,"A right triangle has legs with lengths of centimeters and centimeters. What is the length of this triangle's hypotenuse, in centimeters?"
9ed4c1a2,ALGEBRA,Linear Equations 2 Variables,,,What is the slope of the graph of Ã‚ in theÃ‚ xy-plane?
9ed9f54d,ADV_MATH,Equivalent Expressions,,,Which of the following is equivalent to ?
9ee22c16,PSDA,Sample Size & ME,,,"A random sample of 400 town voters were asked if they plan to vote for Candidate A or Candidate B for mayor. The results were sorted by gender and are shown in the table below. Ã‚ Plan to vote for Candidate A Plan to vote for Candidate B Female 202 20 Male 34 144 The town has a total of 6,000 voters. Based on the table, what is the best estimate of the number of voters who plan to vote for Candidate A?"
9f2ecade,ADV_MATH,Nonlinear Functions,902D Upper,,"The function h is defined above, where a, b, and c are integer constants. If the zeros of the function are 6, and 7, what is the value of c ?"
9f3cb472,ALGEBRA,Linear Equations 2 Variables,,,Line in the xy-plane has a slope of and passes through the point . Which equation defines line ?
9f6f96ff,ALGEBRA,Systems of Linear Equations,,BB9 MEDIUM,"A wire with a length of inches is cut into two parts. One part has a length of inches, and the other part has a length of inches. The value of is more than times the value of . What is the value of ?"
9f70fd47,ALGEBRA,Linear Equations 2 Variables,,BB6 UPPER,What is the y-coordinate of the y-intercept of the graph of in the xy-plane?
9f934297,GEOM_TRIG,Area & Volume,,,"A right rectangular prism has a length of , a width of , and a height of . What is the surface area, , of the right rectangular prism?"
9fc31513,ALGEBRA,Linear Equations 1 Variable,,BB6 LOWER,"The perimeter of an isosceles triangle is feet. Each of the two congruent sides of the triangle has a length of feet. What is the length, in feet, of the third side?"
9ff10b3b,ALGEBRA,Linear Equations 1 Variable,1000D Lower,,"If , what is the value of x ?"
9ff88bb5,ADV_MATH,Nonlinear Functions,,,"A competitive diver dives from a platform into the water. The graph shown gives the height above the water , in meters, of the diver seconds after diving from the platform. What is the best interpretation of the x-intercept of the graph?"
a0369739,GEOM_TRIG,"Lines, Angles, Triangles",,,"In triangle , the measure of angle is and is an altitude of the triangle. The length of is and the length of is greater than the length of . What is the value of ?"
a03b7e02,PSDA,Data 2 Variable,,,The table shows selected values from function . Which of the following is the best description of function ?
